FIPS,StateName,CntyName,DeerDensityMax,DeerDensityMode
6027,California,Inyo County,0,0
6029,California,Kern County,0,0
6031,California,Kings County,0,0
6033,California,Lake County,0,0
6035,California,Lassen County,0,0
6037,California,Los Angeles County,0,0
6039,California,Madera County,0,0
6041,California,Marin County,0,0
6043,California,Mariposa County,0,0
6045,California,Mendocino County,0,0
6047,California,Merced County,0,0
6049,California,Modoc County,0,0
6051,California,Mono County,0,0
6053,California,Monterey County,0,0
6055,California,Napa County,0,0
6057,California,Nevada County,0,0
6059,California,Orange County,0,0
6061,California,Placer County,0,0
6063,California,Plumas County,0,0
6065,California,Riverside County,0,0
6067,California,Sacramento County,0,0
6069,California,San Benito County,0,0
6071,California,San Bernardino County,0,0
6073,California,San Diego County,0,0
6075,California,San Francisco County,0,0
6077,California,San Joaquin County,0,0
6079,California,San Luis Obispo County,0,0
6081,California,San Mateo County,0,0
6083,California,Santa Barbara County,0,0
6085,California,Santa Clara County,0,0
6087,California,Santa Cruz County,0,0
6089,California,Shasta County,0,0
6091,California,Sierra County,0,0
6093,California,Siskiyou County,0,0
6095,California,Solano County,0,0
6097,California,Sonoma County,0,0
6099,California,Stanislaus County,0,0
6101,California,Sutter County,0,0
6103,California,Tehama County,0,0
6105,California,Trinity County,0,0
6107,California,Tulare County,0,0
6109,California,Tuolumne County,0,0
6111,California,Ventura County,0,0
6113,California,Yolo County,0,0
6115,California,Yuba County,0,0
8001,Colorado,Adams County,1,1
8003,Colorado,Alamosa County,0,0
8005,Colorado,Arapahoe County,1,1
8007,Colorado,Archuleta County,0,0
8009,Colorado,Baca County,1,1
8011,Colorado,Bent County,2,1
8013,Colorado,Boulder County,0,0
8014,Colorado,Broomfield County,0,0
8015,Colorado,Chaffee County,0,0
8017,Colorado,Cheyenne County,1,1
8019,Colorado,Clear Creek County,0,0
8021,Colorado,Conejos County,0,0
8023,Colorado,Costilla County,0,0
8025,Colorado,Crowley County,1,1
8027,Colorado,Custer County,1,0
8029,Colorado,Delta County,0,0
8031,Colorado,Denver County,1,1
8033,Colorado,Dolores County,0,0
8035,Colorado,Douglas County,1,0
8037,Colorado,Eagle County,0,0
8039,Colorado,Elbert County,1,1
8041,Colorado,El Paso County,1,1
8043,Colorado,Fremont County,1,0
8045,Colorado,Garfield County,0,0
8047,Colorado,Gilpin County,0,0
8049,Colorado,Grand County,0,0
8051,Colorado,Gunnison County,0,0
8053,Colorado,Hinsdale County,0,0
8055,Colorado,Huerfano County,1,0
8057,Colorado,Jackson County,1,0
8059,Colorado,Jefferson County,0,0
8061,Colorado,Kiowa County,1,1
8063,Colorado,Kit Carson County,2,1
8065,Colorado,Lake County,0,0
8067,Colorado,La Plata County,0,0
8069,Colorado,Larimer County,1,0
8071,Colorado,Las Animas County,1,1
8073,Colorado,Lincoln County,2,1
8075,Colorado,Logan County,2,1
8077,Colorado,Mesa County,0,0
8079,Colorado,Mineral County,0,0
8081,Colorado,Moffat County,0,0
8083,Colorado,Montezuma County,0,0
8085,Colorado,Montrose County,0,0
8087,Colorado,Morgan County,2,1
8089,Colorado,Otero County,2,1
8091,Colorado,Ouray County,0,0
8093,Colorado,Park County,0,0
8095,Colorado,Phillips County,1,1
8097,Colorado,Pitkin County,0,0
8099,Colorado,Prowers County,1,1
8101,Colorado,Pueblo County,2,1
8103,Colorado,Rio Blanco County,0,0
8105,Colorado,Rio Grande County,0,0
8107,Colorado,Routt County,0,0
8109,Colorado,Saguache County,0,0
8111,Colorado,San Juan County,0,0
8113,Colorado,San Miguel County,0,0
8115,Colorado,Sedgwick County,2,1
8117,Colorado,Summit County,0,0
8119,Colorado,Teller County,1,0
8121,Colorado,Washington County,1,1
8123,Colorado,Weld County,2,1
8125,Colorado,Yuma County,2,1
9001,Connecticut,Fairfield County,3,3
9003,Connecticut,Hartford County,2,1
9005,Connecticut,Litchfield County,3,2
9007,Connecticut,Middlesex County,1,1
9009,Connecticut,New Haven County,3,1
9011,Connecticut,New London County,2,1
9013,Connecticut,Tolland County,2,1
9015,Connecticut,Windham County,2,1
10001,Delaware,Kent County,3,2
10003,Delaware,New Castle County,2,2
10005,Delaware,Sussex County,2,2
11001,District of Columbia,District of Columbia,0,0
12001,Florida,Alachua County,2,2
12003,Florida,Baker County,2,1
12005,Florida,Bay County,1,1
12007,Florida,Bradford County,2,2
12009,Florida,Brevard County,2,2
12011,Florida,Broward County,1,1
12013,Florida,Calhoun County,2,2
12015,Florida,Charlotte County,2,1
12017,Florida,Citrus County,2,2
12019,Florida,Clay County,2,2
12021,Florida,Collier County,1,1
12023,Florida,Columbia County,2,1
12027,Florida,DeSoto County,2,2
12029,Florida,Dixie County,1,1
12031,Florida,Duval County,2,2
12033,Florida,Escambia County,3,1
12035,Florida,Flagler County,2,2
12037,Florida,Franklin County,1,1
12039,Florida,Gadsden County,3,2
12041,Florida,Gilchrist County,1,1
12043,Florida,Glades County,2,1
12045,Florida,Gulf County,1,1
12047,Florida,Hamilton County,2,2
12049,Florida,Hardee County,2,2
12051,Florida,Hendry County,2,1
12053,Florida,Hernando County,2,2
12055,Florida,Highlands County,2,2
12057,Florida,Hillsborough County,2,1
12059,Florida,Holmes County,3,2
12061,Florida,Indian River County,2,2
12063,Florida,Jackson County,2,2
12065,Florida,Jefferson County,3,1
12067,Florida,Lafayette County,1,1
12069,Florida,Lake County,2,1
12071,Florida,Lee County,1,1
12073,Florida,Leon County,3,2
12075,Florida,Levy County,2,2
12077,Florida,Liberty County,2,1
12079,Florida,Madison County,1,1
12081,Florida,Manatee County,2,2
12083,Florida,Marion County,2,1
12085,Florida,Martin County,2,2
12086,Florida,Miami-Dade County,1,1
12087,Florida,Monroe County,1,1
12089,Florida,Nassau County,2,2
12091,Florida,Okaloosa County,3,1
12093,Florida,Okeechobee County,2,2
12095,Florida,Orange County,2,2
12097,Florida,Osceola County,2,2
12099,Florida,Palm Beach County,2,1
12101,Florida,Pasco County,2,2
12103,Florida,Pinellas County,1,1
12105,Florida,Polk County,2,1
12107,Florida,Putnam County,2,2
12109,Florida,St. Johns County,2,2
12111,Florida,St. Lucie County,2,2
12113,Florida,Santa Rosa County,3,1
12115,Florida,Sarasota County,2,1
12117,Florida,Seminole County,2,2
12119,Florida,Sumter County,2,2
12121,Florida,Suwannee County,1,1
12123,Florida,Taylor County,1,1
12125,Florida,Union County,1,1
12127,Florida,Volusia County,2,2
12129,Florida,Wakulla County,2,1
12131,Florida,Walton County,4,1
12133,Florida,Washington County,2,2
13001,Georgia,Appling County,3,3
13003,Georgia,Atkinson County,2,2
13005,Georgia,Bacon County,3,2
13007,Georgia,Baker County,3,3
13009,Georgia,Baldwin County,4,3
13011,Georgia,Banks County,4,4
13013,Georgia,Barrow County,3,3
13015,Georgia,Bartow County,3,3
13017,Georgia,Ben Hill County,2,2
13019,Georgia,Berrien County,2,2
13021,Georgia,Bibb County,4,3
13023,Georgia,Bleckley County,2,2
13025,Georgia,Brantley County,2,2
13027,Georgia,Brooks County,3,3
13029,Georgia,Bryan County,3,2
13031,Georgia,Bulloch County,3,3
13033,Georgia,Burke County,3,3
13035,Georgia,Butts County,4,4
13037,Georgia,Calhoun County,3,3
13039,Georgia,Camden County,2,2
13043,Georgia,Candler County,3,3
13045,Georgia,Carroll County,4,4
13047,Georgia,Catoosa County,2,2
13049,Georgia,Charlton County,2,2
13051,Georgia,Chatham County,2,2
13053,Georgia,Chattahoochee County,4,3
13055,Georgia,Chattooga County,3,3
13057,Georgia,Cherokee County,3,2
13059,Georgia,Clarke County,4,3
13061,Georgia,Clay County,3,3
13063,Georgia,Clayton County,3,2
13065,Georgia,Clinch County,2,2
13067,Georgia,Cobb County,3,2
13069,Georgia,Coffee County,2,2
13071,Georgia,Colquitt County,2,2
13073,Georgia,Columbia County,3,3
13075,Georgia,Cook County,2,2
13077,Georgia,Coweta County,4,4
13079,Georgia,Crawford County,4,4
13081,Georgia,Crisp County,2,2
13083,Georgia,Dade County,2,2
13085,Georgia,Dawson County,3,3
13087,Georgia,Decatur County,3,3
13089,Georgia,DeKalb County,3,3
13091,Georgia,Dodge County,3,3
13093,Georgia,Dooly County,2,2
13095,Georgia,Dougherty County,3,3
13097,Georgia,Douglas County,3,3
13099,Georgia,Early County,3,3
13101,Georgia,Echols County,2,2
13103,Georgia,Effingham County,3,3
13105,Georgia,Elbert County,3,3
13107,Georgia,Emanuel County,3,3
13109,Georgia,Evans County,3,3
13111,Georgia,Fannin County,2,2
13113,Georgia,Fayette County,4,3
13115,Georgia,Floyd County,3,3
13117,Georgia,Forsyth County,3,3
13119,Georgia,Franklin County,4,4
13121,Georgia,Fulton County,3,3
13123,Georgia,Gilmer County,2,2
13125,Georgia,Glascock County,3,3
13127,Georgia,Glynn County,2,2
13129,Georgia,Gordon County,3,3
13131,Georgia,Grady County,3,3
13133,Georgia,Greene County,3,3
13135,Georgia,Gwinnett County,4,3
13137,Georgia,Habersham County,4,2
13139,Georgia,Hall County,4,4
13141,Georgia,Hancock County,4,3
13143,Georgia,Haralson County,3,3
13145,Georgia,Harris County,4,4
13147,Georgia,Hart County,3,3
13149,Georgia,Heard County,3,3
13151,Georgia,Henry County,4,4
13153,Georgia,Houston County,3,3
13155,Georgia,Irwin County,2,2
13157,Georgia,Jackson County,4,4
13159,Georgia,Jasper County,4,4
13161,Georgia,Jeff Davis County,2,2
13163,Georgia,Jefferson County,3,3
13165,Georgia,Jenkins County,3,3
13167,Georgia,Johnson County,3,3
13169,Georgia,Jones County,4,4
13171,Georgia,Lamar County,4,3
13173,Georgia,Lanier County,2,2
13175,Georgia,Laurens County,3,2
13177,Georgia,Lee County,3,3
13179,Georgia,Liberty County,2,2
13181,Georgia,Lincoln County,3,3
13183,Georgia,Long County,2,2
13185,Georgia,Lowndes County,2,2
13187,Georgia,Lumpkin County,2,2
13189,Georgia,McDuffie County,3,3
13191,Georgia,McIntosh County,2,2
13193,Georgia,Macon County,3,3
13195,Georgia,Madison County,4,4
13197,Georgia,Marion County,4,3
13199,Georgia,Meriwether County,4,4
13201,Georgia,Miller County,2,2
13205,Georgia,Mitchell County,3,2
13207,Georgia,Monroe County,4,4
13209,Georgia,Montgomery County,2,2
13211,Georgia,Morgan County,4,3
13213,Georgia,Murray County,3,2
13215,Georgia,Muscogee County,4,4
13217,Georgia,Newton County,4,4
13219,Georgia,Oconee County,3,3
13221,Georgia,Oglethorpe County,4,3
13223,Georgia,Paulding County,3,3
13225,Georgia,Peach County,3,3
13227,Georgia,Pickens County,2,2
13229,Georgia,Pierce County,2,2
13231,Georgia,Pike County,4,4
13233,Georgia,Polk County,3,3
13235,Georgia,Pulaski County,3,2
13237,Georgia,Putnam County,4,4
13239,Georgia,Quitman County,3,3
13241,Georgia,Rabun County,2,2
13243,Georgia,Randolph County,3,3
13245,Georgia,Richmond County,3,3
13247,Georgia,Rockdale County,3,3
13249,Georgia,Schley County,3,2
13251,Georgia,Screven County,3,3
13253,Georgia,Seminole County,2,2
13255,Georgia,Spalding County,3,3
13257,Georgia,Stephens County,3,3
13259,Georgia,Stewart County,3,3
13261,Georgia,Sumter County,3,3
13263,Georgia,Talbot County,4,4
13265,Georgia,Taliaferro County,3,3
13267,Georgia,Tattnall County,3,3
13269,Georgia,Taylor County,4,3
13271,Georgia,Telfair County,2,2
13273,Georgia,Terrell County,3,3
13275,Georgia,Thomas County,3,3
13277,Georgia,Tift County,2,2
13279,Georgia,Toombs County,3,2
13281,Georgia,Towns County,2,2
13283,Georgia,Treutlen County,3,2
13285,Georgia,Troup County,3,3
13287,Georgia,Turner County,2,2
13289,Georgia,Twiggs County,3,3
13291,Georgia,Union County,2,2
13293,Georgia,Upson County,4,4
13295,Georgia,Walker County,3,3
13297,Georgia,Walton County,4,3
13299,Georgia,Ware County,2,2
13301,Georgia,Warren County,3,3
13303,Georgia,Washington County,3,3
13305,Georgia,Wayne County,2,2
13307,Georgia,Webster County,3,3
13309,Georgia,Wheeler County,2,2
13311,Georgia,White County,2,2
13313,Georgia,Whitfield County,2,2
13315,Georgia,Wilcox County,2,2
13317,Georgia,Wilkes County,3,3
13319,Georgia,Wilkinson County,3,3
13321,Georgia,Worth County,2,2
16001,Idaho,Ada County,0,0
16003,Idaho,Adams County,1,1
16005,Idaho,Bannock County,0,0
16007,Idaho,Bear Lake County,0,0
16009,Idaho,Benewah County,1,1
16011,Idaho,Bingham County,0,0
16013,Idaho,Blaine County,0,0
16015,Idaho,Boise County,0,0
16017,Idaho,Bonner County,1,1
16019,Idaho,Bonneville County,1,0
16021,Idaho,Boundary County,1,1
16023,Idaho,Butte County,0,0
16025,Idaho,Camas County,0,0
16027,Idaho,Canyon County,0,0
16029,Idaho,Caribou County,0,0
16031,Idaho,Cassia County,0,0
16033,Idaho,Clark County,0,0
16035,Idaho,Clearwater County,1,1
16037,Idaho,Custer County,0,0
16039,Idaho,Elmore County,0,0
16041,Idaho,Franklin County,0,0
16043,Idaho,Fremont County,0,0
16045,Idaho,Gem County,0,0
16047,Idaho,Gooding County,0,0
16049,Idaho,Idaho County,1,1
16051,Idaho,Jefferson County,0,0
16053,Idaho,Jerome County,0,0
16055,Idaho,Kootenai County,1,1
16057,Idaho,Latah County,1,1
16059,Idaho,Lemhi County,2,0
16061,Idaho,Lewis County,1,1
16063,Idaho,Lincoln County,0,0
16065,Idaho,Madison County,0,0
16067,Idaho,Minidoka County,0,0
16069,Idaho,Nez Perce County,1,1
16071,Idaho,Oneida County,0,0
16073,Idaho,Owyhee County,1,0
16075,Idaho,Payette County,0,0
16077,Idaho,Power County,0,0
16079,Idaho,Shoshone County,2,1
16081,Idaho,Teton County,0,0
16083,Idaho,Twin Falls County,0,0
16085,Idaho,Valley County,1,0
16087,Idaho,Washington County,1,0
17001,Illinois,Adams County,2,2
17003,Illinois,Alexander County,2,2
17005,Illinois,Bond County,2,2
17007,Illinois,Boone County,2,2
17009,Illinois,Brown County,3,3
17011,Illinois,Bureau County,2,2
17013,Illinois,Calhoun County,3,3
17015,Illinois,Carroll County,2,2
17017,Illinois,Cass County,3,1
17019,Illinois,Champaign County,1,1
17021,Illinois,Christian County,2,1
17023,Illinois,Clark County,2,2
17025,Illinois,Clay County,3,3
17027,Illinois,Clinton County,2,2
17029,Illinois,Coles County,1,1
17031,Illinois,Cook County,1,0
17033,Illinois,Crawford County,2,2
17035,Illinois,Cumberland County,2,2
17037,Illinois,DeKalb County,2,1
17039,Illinois,De Witt County,2,2
17041,Illinois,Douglas County,1,1
17043,Illinois,DuPage County,1,0
17045,Illinois,Edgar County,1,1
17047,Illinois,Edwards County,3,3
17049,Illinois,Effingham County,2,2
17051,Illinois,Fayette County,2,2
17053,Illinois,Ford County,1,1
17055,Illinois,Franklin County,3,2
17057,Illinois,Fulton County,2,2
17059,Illinois,Gallatin County,2,2
17061,Illinois,Greene County,3,2
17063,Illinois,Grundy County,2,2
17065,Illinois,Hamilton County,2,2
17067,Illinois,Hancock County,2,1
17069,Illinois,Hardin County,3,3
17071,Illinois,Henderson County,2,1
17073,Illinois,Henry County,1,1
17075,Illinois,Iroquois County,1,1
17077,Illinois,Jackson County,3,3
17079,Illinois,Jasper County,2,2
17081,Illinois,Jefferson County,3,3
17083,Illinois,Jersey County,3,2
17085,Illinois,Jo Daviess County,2,2
17087,Illinois,Johnson County,3,3
17089,Illinois,Kane County,1,0
17091,Illinois,Kankakee County,2,1
17093,Illinois,Kendall County,1,1
17095,Illinois,Knox County,2,2
17097,Illinois,Lake County,2,0
17099,Illinois,La Salle County,2,1
17101,Illinois,Lawrence County,2,2
17103,Illinois,Lee County,1,1
17105,Illinois,Livingston County,2,1
17107,Illinois,Logan County,2,1
17109,Illinois,McDonough County,1,1
17111,Illinois,McHenry County,2,2
17113,Illinois,McLean County,2,1
17115,Illinois,Macon County,2,2
17117,Illinois,Macoupin County,2,2
17119,Illinois,Madison County,2,2
17121,Illinois,Marion County,3,3
17123,Illinois,Marshall County,1,1
17125,Illinois,Mason County,2,1
17127,Illinois,Massac County,2,2
17129,Illinois,Menard County,2,2
17131,Illinois,Mercer County,1,1
17133,Illinois,Monroe County,2,2
17135,Illinois,Montgomery County,2,2
17137,Illinois,Morgan County,2,2
17139,Illinois,Moultrie County,2,1
17141,Illinois,Ogle County,2,2
17143,Illinois,Peoria County,2,2
17145,Illinois,Perry County,3,3
17147,Illinois,Piatt County,2,1
17149,Illinois,Pike County,3,3
17151,Illinois,Pope County,3,3
17153,Illinois,Pulaski County,3,3
17155,Illinois,Putnam County,2,2
17157,Illinois,Randolph County,3,3
17159,Illinois,Richland County,3,3
17161,Illinois,Rock Island County,1,1
17163,Illinois,St. Clair County,2,2
17165,Illinois,Saline County,2,2
17167,Illinois,Sangamon County,2,1
17169,Illinois,Schuyler County,2,2
17171,Illinois,Scott County,3,2
17173,Illinois,Shelby County,2,1
17175,Illinois,Stark County,2,1
17177,Illinois,Stephenson County,2,2
17179,Illinois,Tazewell County,2,1
17181,Illinois,Union County,3,3
17183,Illinois,Vermilion County,1,1
17185,Illinois,Wabash County,2,2
17187,Illinois,Warren County,1,1
17189,Illinois,Washington County,2,2
17191,Illinois,Wayne County,2,2
17193,Illinois,White County,2,2
17195,Illinois,Whiteside County,1,1
17197,Illinois,Will County,2,1
17199,Illinois,Williamson County,3,3
17201,Illinois,Winnebago County,2,2
17203,Illinois,Woodford County,2,2
18001,Indiana,Adams County,2,2
18003,Indiana,Allen County,3,3
18005,Indiana,Bartholomew County,2,2
18007,Indiana,Benton County,2,2
18009,Indiana,Blackford County,2,2
18011,Indiana,Boone County,1,1
18013,Indiana,Brown County,2,2
18015,Indiana,Carroll County,2,2
18017,Indiana,Cass County,3,3
18019,Indiana,Clark County,3,3
18021,Indiana,Clay County,2,2
18023,Indiana,Clinton County,1,1
18025,Indiana,Crawford County,3,3
18027,Indiana,Daviess County,2,2
18029,Indiana,Dearborn County,4,4
18031,Indiana,Decatur County,2,2
18033,Indiana,DeKalb County,4,4
18035,Indiana,Delaware County,2,2
18037,Indiana,Dubois County,2,2
18039,Indiana,Elkhart County,3,3
18041,Indiana,Fayette County,3,3
18043,Indiana,Floyd County,3,3
18045,Indiana,Fountain County,2,2
18047,Indiana,Franklin County,4,4
18049,Indiana,Fulton County,3,3
18051,Indiana,Gibson County,3,3
18053,Indiana,Grant County,1,1
18055,Indiana,Greene County,2,2
18057,Indiana,Hamilton County,1,1
18059,Indiana,Hancock County,1,1
18061,Indiana,Harrison County,3,3
18063,Indiana,Hendricks County,1,1
18065,Indiana,Henry County,1,1
18067,Indiana,Howard County,1,1
18069,Indiana,Huntington County,3,3
18071,Indiana,Jackson County,2,2
18073,Indiana,Jasper County,2,2
18075,Indiana,Jay County,2,2
18077,Indiana,Jefferson County,3,3
18079,Indiana,Jennings County,3,3
18081,Indiana,Johnson County,1,1
18083,Indiana,Knox County,3,3
18085,Indiana,Kosciusko County,4,4
18087,Indiana,LaGrange County,4,4
18089,Indiana,Lake County,2,2
18091,Indiana,LaPorte County,3,3
18093,Indiana,Lawrence County,2,2
18095,Indiana,Madison County,1,1
18097,Indiana,Marion County,1,1
18099,Indiana,Marshall County,3,3
18101,Indiana,Martin County,2,2
18103,Indiana,Miami County,3,3
18105,Indiana,Monroe County,2,2
18107,Indiana,Montgomery County,1,1
18109,Indiana,Morgan County,1,1
18111,Indiana,Newton County,2,2
18113,Indiana,Noble County,4,4
18115,Indiana,Ohio County,4,3
18117,Indiana,Orange County,3,3
18119,Indiana,Owen County,2,2
18121,Indiana,Parke County,2,2
18123,Indiana,Perry County,3,3
18125,Indiana,Pike County,3,3
18127,Indiana,Porter County,2,2
18129,Indiana,Posey County,3,3
18131,Indiana,Pulaski County,3,3
18133,Indiana,Putnam County,2,2
18135,Indiana,Randolph County,2,2
18137,Indiana,Ripley County,4,4
18139,Indiana,Rush County,1,1
18141,Indiana,St. Joseph County,3,3
18143,Indiana,Scott County,2,2
18145,Indiana,Shelby County,1,1
18147,Indiana,Spencer County,3,3
18149,Indiana,Starke County,3,3
18151,Indiana,Steuben County,4,4
18153,Indiana,Sullivan County,3,3
18155,Indiana,Switzerland County,3,3
18157,Indiana,Tippecanoe County,1,1
18159,Indiana,Tipton County,1,1
18161,Indiana,Union County,3,3
18163,Indiana,Vanderburgh County,3,3
18165,Indiana,Vermillion County,2,2
18167,Indiana,Vigo County,2,2
18169,Indiana,Wabash County,3,3
18171,Indiana,Warren County,2,2
18173,Indiana,Warrick County,3,3
18175,Indiana,Washington County,2,2
18177,Indiana,Wayne County,3,3
18179,Indiana,Wells County,3,2
18181,Indiana,White County,2,2
18183,Indiana,Whitley County,4,4
19001,Iowa,Adair County,1,1
19003,Iowa,Adams County,1,1
19005,Iowa,Allamakee County,2,2
19007,Iowa,Appanoose County,2,2
19009,Iowa,Audubon County,1,1
19011,Iowa,Benton County,1,1
19013,Iowa,Black Hawk County,1,1
19015,Iowa,Boone County,1,1
19017,Iowa,Bremer County,1,1
19019,Iowa,Buchanan County,1,1
19021,Iowa,Buena Vista County,1,1
19023,Iowa,Butler County,1,1
19025,Iowa,Calhoun County,1,1
19027,Iowa,Carroll County,1,1
19029,Iowa,Cass County,1,1
19031,Iowa,Cedar County,1,1
19033,Iowa,Cerro Gordo County,1,1
19035,Iowa,Cherokee County,1,1
19037,Iowa,Chickasaw County,1,1
19039,Iowa,Clarke County,1,1
19041,Iowa,Clay County,1,1
19043,Iowa,Clayton County,2,2
19045,Iowa,Clinton County,1,1
19047,Iowa,Crawford County,1,1
19049,Iowa,Dallas County,1,1
19051,Iowa,Davis County,2,2
19053,Iowa,Decatur County,1,1
19055,Iowa,Delaware County,1,1
19057,Iowa,Des Moines County,2,1
19059,Iowa,Dickinson County,1,1
19061,Iowa,Dubuque County,2,2
19063,Iowa,Emmet County,1,1
19065,Iowa,Fayette County,1,1
19067,Iowa,Floyd County,1,1
19069,Iowa,Franklin County,1,1
19071,Iowa,Fremont County,1,1
